"","Geo_Location","Date_Created"
"5022","{type: Point, coordinates: [42.353839, -71.070957]}","Wed Jan 22 23:22:02 +0000 2020"
"7288","{type: Point, coordinates: [30.5833, 114.267]}","Thu Jan 23 01:54:23 +0000 2020"
"8881","{type: Point, coordinates: [30.5833, 114.267]}","Thu Jan 23 03:54:36 +0000 2020"
"10607","{type: Point, coordinates: [52.232222, 21.008333]}","Thu Jan 23 05:55:21 +0000 2020"
"10747","{type: Point, coordinates: [52.232222, 21.008333]}","Thu Jan 23 06:09:49 +0000 2020"
"13917","{type: Point, coordinates: [23.1167, 113.25]}","Thu Jan 23 09:57:13 +0000 2020"
"14129","{type: Point, coordinates: [52.232222, 21.008333]}","Thu Jan 23 10:12:17 +0000 2020"
"41638","{type: Point, coordinates: [1.28218, 103.84317]}","Fri Jan 24 11:50:39 +0000 2020"
"43097","{type: Point, coordinates: [45.50790405, 6.7086028]}","Fri Jan 24 13:06:12 +0000 2020"
"50288","{type: Point, coordinates: [53.73, -1.744]}","Fri Jan 24 18:23:43 +0000 2020"
"52583","{type: Point, coordinates: [40.2725906, -83.0673904]}","Fri Jan 24 20:24:14 +0000 2020"
"56489","{type: Point, coordinates: [39.12933947, -76.51596915]}","Fri Jan 24 23:55:51 +0000 2020"
"57455","{type: Point, coordinates: [1.27955492, 103.83476266]}","Sat Jan 25 00:55:06 +0000 2020"
"59063","{type: Point, coordinates: [31.143333, 121.805278]}","Sat Jan 25 02:10:44 +0000 2020"
"68318","{type: Point, coordinates: [5.55, -0.2]}","Sat Jan 25 08:28:29 +0000 2020"
"82815","{type: Point, coordinates: [41.89428, -87.63158]}","Sat Jan 25 17:30:55 +0000 2020"
"83162","{type: Point, coordinates: [50.85, 4.35]}","Sat Jan 25 17:32:07 +0000 2020"
"88499","{type: Point, coordinates: [55.852472, -4.309626]}","Sat Jan 25 21:17:11 +0000 2020"
"96946","{type: Point, coordinates: [14.6011, 120.9751]}","Sun Jan 26 02:33:43 +0000 2020"
"104794","{type: Point, coordinates: [37.9574, -121.287]}","Sun Jan 26 06:50:10 +0000 2020"
"112305","{type: Point, coordinates: [52.232222, 21.008333]}","Sun Jan 26 11:06:49 +0000 2020"
"115395","{type: Point, coordinates: [4.197501, 100.683806]}","Sun Jan 26 12:52:14 +0000 2020"
"139636","{type: Point, coordinates: [37.7485909, -122.4190191]}","Mon Jan 27 03:12:03 +0000 2020"
"141425","{type: Point, coordinates: [1.29306, 103.856]}","Mon Jan 27 04:13:18 +0000 2020"
"144599","{type: Point, coordinates: [52.232222, 21.008333]}","Mon Jan 27 06:42:49 +0000 2020"
"145639","{type: Point, coordinates: [-7.9095293, 112.5794146]}","Mon Jan 27 07:28:01 +0000 2020"
"147814","{type: Point, coordinates: [34.68920309, 135.532347]}","Mon Jan 27 08:59:46 +0000 2020"
"157119","{type: Point, coordinates: [28.52252252, 77.24971176]}","Mon Jan 27 14:46:31 +0000 2020"
"159463","{type: Point, coordinates: [28.49101, -81.3782]}","Mon Jan 27 16:02:19 +0000 2020"
"181195","{type: Point, coordinates: [-26.21659308, 28.06045532]}","Tue Jan 28 05:21:02 +0000 2020"
"190617","{type: Point, coordinates: [22.2826, 114.158]}","Tue Jan 28 11:22:20 +0000 2020"
"208985","{type: Point, coordinates: [37.7929728, -122.3958528]}","Tue Jan 28 21:26:33 +0000 2020"
"213818","{type: Point, coordinates: [1.3553794, 103.8677444]}","Wed Jan 29 00:12:02 +0000 2020"
"232505","{type: Point, coordinates: [52.232222, 21.008333]}","Wed Jan 29 11:00:18 +0000 2020"
"239017","{type: Point, coordinates: [41.47860652, -81.75008577]}","Wed Jan 29 14:32:15 +0000 2020"
"239955","{type: Point, coordinates: [13.74575362, 100.5556135]}","Wed Jan 29 15:02:12 +0000 2020"
"241067","{type: Point, coordinates: [22.1583, 113.5588]}","Wed Jan 29 15:33:00 +0000 2020"
"250479","{type: Point, coordinates: [41.4629393, -81.48630639]}","Wed Jan 29 20:49:03 +0000 2020"
"258496","{type: Point, coordinates: [13.86200131, 100.65507813]}","Thu Jan 30 01:06:02 +0000 2020"
"261327","{type: Point, coordinates: [40.7142, -74.0064]}","Thu Jan 30 02:36:47 +0000 2020"
"269391","{type: Point, coordinates: [22.29172463, 113.94804177]}","Thu Jan 30 07:08:02 +0000 2020"
"285981","{type: Point, coordinates: [33.8892, 35.4993]}","Thu Jan 30 16:40:50 +0000 2020"
"286724","{type: Point, coordinates: [32.0, 120.833]}","Thu Jan 30 17:10:23 +0000 2020"
"292636","{type: Point, coordinates: [3.1581, 101.5983]}","Thu Jan 30 20:26:35 +0000 2020"
"293589","{type: Point, coordinates: [40.5767568, -73.93550844]}","Thu Jan 30 20:56:49 +0000 2020"
"305860","{type: Point, coordinates: [37.58988308, -81.10803193]}","Fri Jan 31 03:44:30 +0000 2020"
"311486","{type: Point, coordinates: [51.50683, -0.13883]}","Fri Jan 31 06:32:13 +0000 2020"
"315143","{type: Point, coordinates: [17.9667, 102.6]}","Fri Jan 31 08:31:23 +0000 2020"
"335330","{type: Point, coordinates: [57.61353022, 11.72408099]}","Fri Jan 31 19:34:55 +0000 2020"
